Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Settling_Velocity_w_m_s,Modelled_s0,Peclet_Number,Residual,Abs_Error,Squared_Error
6_H_2_Day_2_LT,6,CPC,H,F_across,Day_2,Spring,LT,86.07,0.5,-0.0116,2e-05,0.15,0.15,0.0645,0.0496,0.0005,1520.5848997030268,6.656079999999999,-1520.5352997030268,1520.5352997030268,2312027.5976429735
6_D_2_Day_3_HT,6,CPC,D,C,Day_3,Spring,HT,15.72,0.45,0.0107,1.6e-05,0.15,0.15,0.1767,0.1359,0.0005,37.179704145537535,1.12136,-37.043804145537536,37.043804145537536,1372.2434255729438
6_D_2_Day_3_LT,6,CPC,D,C,Day_3,Spring,LT,15.72,0.4,-0.0091,1.2e-05,0.15,0.15,0.0641,0.0493,0.0005,37.104562050201814,0.9536800000000001,-37.05526205020181,37.05526205020181,1373.0924456091266
6_F_across_2_Day_3_HT,6,CPC,F_across,D,Day_3,Spring,HT,49.82,0.93,0.0155,4.9e-05,0.15,0.15,0.4911,0.3778,0.0005,409.431947289481,5.148066666666667,-409.054147289481,409.054147289481,167325.29541472445
6_F_across_2_Day_3_LT,6,CPC,F_across,D,Day_3,Spring,LT,49.82,0.87,-0.0181,5.4e-05,0.15,0.15,0.1154,0.0888,0.0005,409.3996144326344,6.011613333333334,-409.3108144326344,409.3108144326344,167535.34281150647
6_F_2_Day_3_HT,6,CPC,F,D,Day_3,Spring,HT,51.81,0.61,0.0102,2.1e-05,0.15,0.15,0.0094,0.0072,0.0005,439.8184322180967,3.5230800000000007,-439.8112322180967,439.8112322180967,193433.91998520057
6_F_2_Day_3_LT,6,CPC,F,D,Day_3,Spring,LT,51.81,0.52,-0.0108,1.9e-05,0.15,0.15,0.0681,0.0524,0.0005,439.7251101746658,3.7303200000000003,-439.67271017466584,439.67271017466584,193312.0920723357
6_E_2_Day_3_HT,6,CPC,E,D,Day_3,Spring,HT,53.25,0.53,0.0098,1.8e-05,0.15,0.15,0.0777,0.0598,0.0005,462.4966713359187,3.4790000000000005,-462.4368713359187,462.4368713359187,213847.859970953
6_E_2_Day_3_LT,6,CPC,E,D,Day_3,Spring,LT,53.25,0.47,-0.0121,1.9e-05,0.15,0.15,0.0681,0.0524,0.0005,462.41404195454,4.2955000000000005,-462.36164195454,462.36164195454,213778.28795089826
6_G_2_Day_3_HT,6,CPC,G,F,Day_3,Spring,HT,54.23,0.52,0.0091,1.6e-05,0.15,0.15,0.0641,0.0493,0.0005,880.9277696303999,3.2899533333333335,-880.8784696303999,880.8784696303999,775946.8782583954
6_G_2_Day_3_LT,6,CPC,G,F,Day_3,Spring,LT,54.23,0.47,-0.0118,1.9e-05,0.15,0.15,0.4911,0.3778,0.0005,880.7278399359586,4.266093333333333,-880.3500399359586,880.3500399359586,775016.192815244
6_H_2_Day_3_HT,6,CPC,H,F_across,Day_3,Spring,HT,86.07,0.55,0.0138,2.6e-05,0.15,0.15,0.1386,0.1066,0.0005,1520.5956669317686,7.9184399999999995,-1520.4890669317685,1520.4890669317685,2311887.00265904
6_H_2_Day_3_LT,6,CPC,H,F_across,Day_3,Spring,LT,86.07,0.5,-0.0106,1.8e-05,0.15,0.15,0.0681,0.0524,0.0005,1520.5716062762658,6.08228,-1520.5192062762658,1520.5192062762658,2311978.656655005
8_C_2_Day_1_HT,8,CPC,C,Dutch_Canal,Day_1,Neap,HT,0.0,0.73,0.013,3.2e-05,0.15,0.15,0.05,0.038,0.0005,0.038,0.0,0.0,0.0,0.0
8_C_2_Day_1_LT,8,CPC,C,Dutch_Canal,Day_1,Neap,LT,0.0,0.68,-0.0155,3.6e-05,0.15,0.15,0.082,0.063,0.0005,0.063,0.0,0.0,0.0,0.0
8_G_2_Day_1_HT,8,CPC,G,F,Day_1,Neap,HT,34.86,0.63,0.0158,3.4e-05,0.15,0.15,0.0932,0.0717,0.0005,182.34526355247232,3.6719200000000005,-182.27356355247233,182.27356355247233,33223.65197011717
8_G_2_Day_1_LT,8,CPC,G,F,Day_1,Neap,LT,34.86,0.59,-0.0134,2.7e-05,0.15,0.15,0.1282,0.0986,0.0005,182.3652557114214,3.11416,-182.2666557114214,182.2666557114214,33221.13378422583
8_D_2_Day_1_HT,8,CPC,D,C,Day_1,Neap,HT,50.78,0.73,0.013,3.2e-05,0.15,0.15,0.0469,0.0361,0.0005,386.82053615676506,4.400933333333334,-386.7844361567651,386.7844361567651,149602.20005310667
8_D_2_Day_1_LT,8,CPC,D,C,Day_1,Neap,LT,50.78,0.68,-0.0155,3.6e-05,0.15,0.15,0.0798,0.0614,0.0005,386.8432073700433,5.247266666666667,-386.7818073700433,386.7818073700433,149600.16651243728
8_E_2_Day_1_HT,8,CPC,E,D,Day_1,Neap,HT,78.96,0.73,0.0178,4.4e-05,0.15,0.15,0.119,0.0915,0.0005,1321.9990563051242,9.369919999999999,-1321.9075563051242,1321.9075563051242,1747439.587416585
8_E_2_Day_1_LT,8,CPC,E,D,Day_1,Neap,LT,78.96,0.66,-0.0122,2.8e-05,0.15,0.15,0.0979,0.0753,0.0005,1322.0260389619034,6.42208,-1321.9507389619034,1321.9507389619034,1747553.7562419225
8_H_2_Day_1_HT,8,CPC,H,F_across,Day_1,Neap,HT,83.91,0.65,0.0114,2.5e-05,0.15,0.15,0.0497,0.0382,0.0005,1056.1519944246438,6.377160000000001,-1056.1137944246439,1056.1137944246439,1115376.3467740188
8_H_2_Day_1_LT,8,CPC,H,F_across,Day_1,Neap,LT,83.91,0.57,-0.0104,2e-05,0.15,0.15,0.0883,0.0679,0.0005,1056.1579853017117,5.81776,-1056.0900853017117,1056.0900853017117,1115326.2682725769
8_F_across_2_Day_1_HT,8,CPC,F_across,D,Day_1,Neap,HT,113.12,0.98,0.0178,6e-05,0.15,0.15,0.119,0.0915,0.0005,2306.2210688445125,13.423573333333335,-2306.1295688445125,2306.1295688445125,5318233.588298977
8_F_across_2_Day_1_LT,8,CPC,F_across,D,Day_1,Neap,LT,113.12,0.92,-0.0209,6.6e-05,0.15,0.15,0.0849,0.0653,0.0005,2306.2501754044615,15.761386666666668,-2306.1848754044613,2306.1848754044613,5318488.6795442905
8_F_2_Day_1_HT,8,CPC,F,D,Day_1,Neap,HT,117.84,0.76,0.0127,3.3e-05,0.15,0.15,0.157,0.1208,0.0005,2469.706176491248,9.97712,-2469.5853764912476,2469.5853764912476,6098851.931779417
8_F_2_Day_1_LT,8,CPC,F,D,Day_1,Neap,LT,117.84,0.71,-0.0154,3.7e-05,0.15,0.15,0.0631,0.0485,0.0005,2469.7605302275233,12.09824,-2469.7120302275234,2469.7120302275234,6099477.512250556
8_G_2_Day_2_HT,8,CPC,G,F,Day_2,Spring,HT,34.86,0.63,0.0134,2.9e-05,0.15,0.15,0.1154,0.0888,0.0005,182.35933231526278,3.11416,-182.27053231526278,182.27053231526278,33222.54695048925
8_G_2_Day_2_LT,8,CPC,G,F,Day_2,Spring,LT,34.86,0.59,-0.0111,2.2e-05,0.15,0.15,0.0618,0.0475,0.0005,182.31842918931102,2.5796400000000004,-182.270929189311,182.270929189311,33222.69162753483
8_D_2_Day_2_HT,8,CPC,D,C,Day_2,Spring,HT,50.78,0.73,0.0187,4.7e-05,0.15,0.15,0.0497,0.0382,0.0005,386.82484430778874,6.330573333333334,-386.7866443077887,386.7866443077887,149603.90821487986
